dataset,model,seed,auroc,auprc,nan_rate,train_time,status,timestamp
syn_linear,IF,42,0.8454682955206515,0.25136832225917133,0.0,0.2588815689086914,success,2026-02-02T22:14:17.521209
syn_linear,CWAE-MMD-IF,42,0.9912507271669575,0.8856998142995508,0.0,19.2233726978302,success,2026-02-02T22:15:07.790126
syn_linear,CWAE-MMD-DIF,42,0.9916695753344968,0.9313707027924938,0.0,16.232828378677368,success,2026-02-02T22:15:24.035454
syn_linear,CWAE-MMD-IF-Latent,42,0.9879930191972077,0.9379626198801928,0.0,14.732025861740112,success,2026-02-02T22:15:38.778329
syn_linear,CWAE-MMD-IF-Dual,42,0.9949970913321698,0.9376407280638163,0.0,15.118163347244263,success,2026-02-02T22:15:53.905083
syn_linear,CWAE-MMD-DIF-Dual,42,0.994066317626527,0.9554515380458246,0.0,17.69836974143982,success,2026-02-02T22:16:11.612378
syn_linear,CWAE-MMD-CRPS,42,0.9873880162885399,0.8505023570231383,0.0,15.833338022232056,success,2026-02-02T22:16:27.458790
syn_linear,CWAE-MMD-Huber,42,0.9760093077370564,0.8249680890699788,0.0,15.559900283813477,success,2026-02-02T22:16:43.027171
syn_linear,CWAE-MMD-CRPS-IF,42,0.9873880162885399,0.8505023570231383,0.0,16.52302598953247,success,2026-02-02T22:16:59.558860
syn_linear,CWAE-MMD-IMQ-Extreme,42,0.9850610820244329,0.8852722750032472,0.0,20.980231285095215,success,2026-02-02T22:17:20.547061
syn_linear,CWAEMMD-Base,42,0.9912507271669575,0.8856998142995508,0.0,15.264323234558105,success,2026-02-02T22:17:35.819462
syn_linear,CVAE,42,0.9396160558464223,0.6678477483198876,0.0,7.074748992919922,success,2026-02-02T22:17:42.902880
syn_linear,IF-concat,42,0.8454682955206515,0.25136832225917133,0.0,0.23583984375,success,2026-02-02T22:17:43.145657
syn_linear,DIF,42,0.9773356602675973,0.8675584086333402,0.0,1.3568360805511475,success,2026-02-02T22:17:44.511243
syn_linear,CWAE-MMD-Beta0.1,42,0.9916928446771379,0.8651847772998243,0.0,16.018566846847534,success,2026-02-02T22:18:00.540395
syn_linear,CWAE-MMD-Beta10,42,0.9852937754508435,0.8434852256613633,0.0,16.32142972946167,success,2026-02-02T22:18:16.871091
syn_linear,CWAE-MMD-Latent16,42,0.9859918557300755,0.8521254598363359,0.0,16.31161618232727,success,2026-02-02T22:18:33.190683
syn_linear,CWAE-MMD-IF,123,0.9956421052631579,0.9251312764123744,0.0,35.98532748222351,success,2026-02-02T22:21:20.344828
syn_linear,CWAE-MMD-DIF,123,0.9954526315789474,0.9330829998445918,0.0,28.42475914955139,success,2026-02-02T22:21:48.786018
syn_linear,CWAE-MMD-IF-Latent,123,0.9965684210526317,0.9706888052005322,0.0,24.659260034561157,success,2026-02-02T22:22:13.457970
syn_linear,CWAE-MMD-IF-Dual,123,0.9978105263157895,0.9618765214385738,0.0,24.10385537147522,success,2026-02-02T22:22:37.574270
syn_linear,CWAE-MMD-DIF-Dual,123,0.9978736842105264,0.9677739959901546,0.0,27.1559419631958,success,2026-02-02T22:23:04.741825
syn_linear,CWAE-MMD-CRPS,123,0.9911157894736842,0.8975717719005463,0.0,26.19606113433838,success,2026-02-02T22:23:30.953817
syn_linear,CWAE-MMD-Huber,123,0.9873894736842105,0.8336404189398361,0.0,28.958011627197266,success,2026-02-02T22:23:59.923397
syn_linear,CWAE-MMD-CRPS-IF,123,0.9911157894736842,0.8975717719005463,0.0,23.897523880004883,success,2026-02-02T22:24:23.832222
syn_linear,CWAE-MMD-IMQ-Extreme,123,0.9838736842105263,0.8451523537374814,0.0,34.0558500289917,success,2026-02-02T22:24:57.899600
syn_linear,CWAEMMD-Base,123,0.9956421052631579,0.9251312764123744,0.0,23.69442892074585,success,2026-02-02T22:25:21.606913
syn_linear,CVAE,123,0.9681263157894737,0.7102083488495174,0.0,13.781083822250366,success,2026-02-02T22:25:35.401148
syn_linear,IF,123,0.8128842105263159,0.1179848886136694,0.0,0.34847474098205566,success,2026-02-02T22:25:35.761448
syn_linear,IF-concat,123,0.8128842105263159,0.1179848886136694,0.0,0.33974432945251465,success,2026-02-02T22:25:36.110808
syn_linear,DIF,123,0.9797684210526316,0.821963166093669,0.0,2.0847604274749756,success,2026-02-02T22:25:38.208730
syn_linear,CWAE-MMD-Beta0.1,123,0.9927368421052631,0.9077786088266732,0.0,29.47593641281128,success,2026-02-02T22:26:07.701795
syn_linear,CWAE-MMD-Beta10,123,0.985221052631579,0.8394327235594907,0.0,27.57279372215271,success,2026-02-02T22:26:35.286912
syn_linear,CWAE-MMD-Latent16,123,0.9864842105263159,0.8797226146153384,0.0,24.29659128189087,success,2026-02-02T22:26:59.594636
syn_linear,CWAE-MMD-IF,456,0.9763652482269504,0.899418535718743,0.0,24.439571142196655,success,2026-02-02T22:27:24.073216
syn_linear,CWAE-MMD-DIF,456,0.9761347517730496,0.8712840143063838,0.0,26.745362758636475,success,2026-02-02T22:27:50.830278
syn_linear,CWAE-MMD-IF-Latent,456,0.9961702127659575,0.9536804771395198,0.0,23.166914463043213,success,2026-02-02T22:28:14.010460
